Dataset,Nodes,Undirected edges,Features,Classes,Edge homophily,Loader
Cora,2708,5278,1433,7,0.81,Planetoid
CiteSeer,3327,4552,3703,6,0.736,Planetoid
PubMed,19717,44324,500,3,0.802,Planetoid
Roman-Empire,22662,32927,300,18,0.047,HeterophilousGraphDataset
Amazon-Photo,7650,119081,745,8,0.827,Amazon
Amazon-Computers,13752,245861,767,10,0.777,Amazon
Coauthor-CS,18333,81894,6805,15,0.808,Coauthor
Coauthor-Physics,34493,247962,8415,5,0.931,Coauthor
Actor,7600,26752,932,5,0.219,Actor
Chameleon,2277,31421,2325,5,0.235,WikipediaNetwork
Squirrel,5201,198493,2089,5,0.224,WikipediaNetwork
Cornell,183,280,1703,5,0.131,WebKB
Texas,183,295,1703,5,0.108,WebKB
Wisconsin,251,466,1703,5,0.196,WebKB
Amazon-Ratings,24492,93050,300,5,0.38,HeterophilousGraphDataset
